Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-04-07,171.07,175.78,162.75,164.71,35788460,USD,Investing.com,ETHEREUM
2020-04-08,164.71,174.23,163.73,173.0,24305528,USD,Investing.com,ETHEREUM
2020-04-09,173.01,173.2,165.91,169.68,20660100,USD,Investing.com,ETHEREUM
2020-04-10,169.67,170.1,152.52,157.86,28349146,USD,Investing.com,ETHEREUM
2020-04-11,157.85,161.37,154.01,158.18,19067582,USD,Investing.com,ETHEREUM
2020-04-12,158.18,164.75,155.17,158.73,22604288,USD,Investing.com,ETHEREUM
2020-04-13,158.76,158.85,150.6,156.38,25301232,USD,Investing.com,ETHEREUM
2020-04-14,156.36,161.57,155.52,158.45,21198518,USD,Investing.com,ETHEREUM
2020-04-15,158.43,161.06,152.44,152.9,20699776,USD,Investing.com,ETHEREUM
2020-04-16,152.9,174.28,148.91,172.31,32990058,USD,Investing.com,ETHEREUM
2020-04-17,172.32,174.52,168.55,170.63,20050772,USD,Investing.com,ETHEREUM
2020-04-18,170.63,189.22,170.61,187.45,24748348,USD,Investing.com,ETHEREUM
2020-04-19,187.47,188.23,177.24,180.13,23265360,USD,Investing.com,ETHEREUM
2020-04-20,180.12,186.24,167.51,170.4,33682720,USD,Investing.com,ETHEREUM
2020-04-21,170.37,174.48,168.31,170.79,23631732,USD,Investing.com,ETHEREUM
2020-04-22,170.79,183.71,169.93,182.72,23812944,USD,Investing.com,ETHEREUM
2020-04-23,182.72,192.4,178.54,185.46,28731356,USD,Investing.com,ETHEREUM
2020-04-24,185.48,189.33,185.19,187.58,19840064,USD,Investing.com,ETHEREUM
2020-04-25,187.57,197.35,186.03,194.01,21865940,USD,Investing.com,ETHEREUM
2020-04-26,194.01,199.3,192.52,197.35,23126722,USD,Investing.com,ETHEREUM
2020-04-27,197.35,198.8,190.87,196.14,23333546,USD,Investing.com,ETHEREUM
2020-04-28,196.13,197.51,192.47,196.55,21812754,USD,Investing.com,ETHEREUM
2020-04-29,196.55,218.32,196.45,215.4,32872264,USD,Investing.com,ETHEREUM
2020-04-30,215.42,227.05,202.59,206.22,35458188,USD,Investing.com,ETHEREUM
2020-05-01,206.23,216.99,206.06,212.0,23078940,USD,Investing.com,ETHEREUM
2020-05-02,212.0,215.15,210.51,213.96,18307036,USD,Investing.com,ETHEREUM
2020-05-03,213.96,218.74,205.5,209.83,23116324,USD,Investing.com,ETHEREUM
2020-05-04,209.85,210.63,195.25,206.61,27207872,USD,Investing.com,ETHEREUM
2020-05-05,206.59,211.33,201.75,205.36,21052750,USD,Investing.com,ETHEREUM
2020-05-06,205.36,210.62,198.79,199.04,24031032,USD,Investing.com,ETHEREUM
2020-05-07,199.05,214.0,197.36,212.0,26712904,USD,Investing.com,ETHEREUM
2020-05-08,212.0,216.44,207.25,211.45,23082488,USD,Investing.com,ETHEREUM
2020-05-09,211.47,214.5,208.83,210.22,20895762,USD,Investing.com,ETHEREUM
2020-05-10,210.19,210.19,180.7,187.78,35984676,USD,Investing.com,ETHEREUM
2020-05-11,187.77,193.26,177.43,185.96,26737920,USD,Investing.com,ETHEREUM
2020-05-12,185.82,192.04,185.68,189.84,15575430,USD,Investing.com,ETHEREUM
2020-05-13,189.82,200.82,188.59,199.58,17469392,USD,Investing.com,ETHEREUM
